,MACD_SIGNAL,MACD_ZERO,Color
2009-02-23,0.121790399576,-0.0242106417957,g
2009-02-24,0.102259479357,-0.0759514737192,g
2009-02-25,0.0817424978281,-0.102618548495,g
2009-02-26,0.0576381604169,-0.15378194782,g
2009-02-27,0.0318043378474,-0.19134362439,g
2009-03-02,0.00309253603653,-0.240894811073,g
2009-03-03,-0.0261102571419,-0.271399949785,g
2009-03-04,-0.0500438747429,-0.250088304861,g
2009-03-05,-0.0735093535978,-0.267555942737,g
2009-03-06,-0.101928416989,-0.333790383464,g
2009-03-09,-0.136663558904,-0.416881205725,g
2009-03-10,-0.165308967137,-0.393144124703,g
2009-03-11,-0.181787646441,-0.308744939718,g
2009-03-12,-0.182815505319,-0.183510110252,g
2009-03-13,-0.173532497615,-0.0908917197136,g
2009-03-16,-0.158056149917,-0.0262767420965,g
2009-03-17,-0.131431861353,0.0889108056643,g
2009-03-18,-0.0945801499126,0.205861029459,g
2009-03-19,-0.0515224379773,0.29560408942,g
2009-03-20,-0.00556332493708,0.360995098624,g
2009-03-23,0.0511824464045,0.500561867533,g
2009-03-24,0.111577054138,0.585153631749,g
2009-03-25,0.17236500232,0.643518736187,g
2009-03-26,0.236937965139,0.733013537773,g
2009-03-27,0.296603652847,0.747076951892,g
2009-03-30,0.346447976286,0.712102213192,g
2009-03-31,0.388348772676,0.685254209414,g
2009-04-01,0.428836850106,0.710453331936,g
2009-04-02,0.47326720297,0.78295680096,g
2009-04-03,0.523976318031,0.88023616781,g
2009-04-06,0.580971060156,0.983274570035,g
2009-04-07,0.633954668072,0.998592957353,g
2009-04-08,0.683824527697,1.01841404809,g
2009-04-09,0.734550092163,1.07142505328,g
2009-04-13,0.78442456751,1.10972662253,k
2009-04-14,0.827845314069,1.09642298457,k
2009-04-15,0.863151722371,1.06219706161,k
2009-04-16,0.896986869047,1.08088190485,k
2009-04-17,0.930919887473,1.1124686856,k
2009-04-20,0.957703226281,1.07838689547,g
2009-04-21,0.979541474816,1.05782050938,k
2009-04-22,0.995544762792,1.02469358544,k
2009-04-23,1.01228565276,1.04590574019,k
2009-04-24,1.02520749123,1.02644439566,g
2009-04-27,1.03516420431,1.01126571931,g
2009-04-28,1.04000787028,0.973908577357,g
2009-04-29,1.04191467154,0.951656947944,g
2009-04-30,1.0415548171,0.932821525165,g
